Chapter,State,Delegates,Population,Implied minimum,Implied maximum,% population (low),% population (high)
Palm Beach County,Florida,2,"1,317,120",113,187,0.0086%,0.0142%
Memphis Midsouth,Tennessee,2,"1,320,872",113,187,0.0086%,0.0142%
Northwest Ohio,Ohio,1,"791,530",1,112,0.0001%,0.0141%
Phoenix,Arizona,7,"3,977,709",488,562,0.0123%,0.0141%
Fort Worth,Texas,3,"1,856,720",188,262,0.0101%,0.0141%
Middle Tennessee,Tennessee,4,"2,413,644",263,337,0.0109%,0.0140%
Nassau County,New York,2,"1,344,374",113,187,0.0084%,0.0139%
Houston,Texas,11,"6,319,693",788,862,0.0125%,0.0136%
Inland Empire,California,7,"4,192,841",488,562,0.0116%,0.0134%
Pensacola,Florida,1,"926,636",1,112,0.0001%,0.0121%
South New Jersey,New Jersey,2,"1,670,175",113,187,0.0068%,0.0112%
Rio Grande Valley,Texas,1,"1,140,696",1,112,0.0001%,0.0098%
North Alabama,Alabama,1,"1,433,638",1,112,0.0001%,0.0078%
At-Large,N/A,43,"125,675,566","3,188","3,262",0.0025%,0.0026%
